week,event_key,model,accuracy,num_matches
5,2025miken,log_reg,0.7894736842105263,95
5,2025miliv,log_reg,0.7956989247311828,93
5,2025mimcc,log_reg,0.7311827956989247,93
5,2025mimid,log_reg,0.7789473684210526,95
5,2025mnmi,log_reg,0.7608695652173914,92
5,2025mokc,log_reg,0.691358024691358,81
5,2025ncpem,log_reg,0.7792207792207793,77
5,2025njski,log_reg,0.7341772151898734,79
5,2025nvlv,log_reg,0.8888888888888888,90
5,2025nytr,log_reg,0.6868686868686869,99
5,2025ohmv,log_reg,0.7553191489361702,94
5,2025onham,log_reg,0.8441558441558441,77
5,2025onwin,log_reg,0.6575342465753424,73
5,2025pawar,log_reg,0.8,75
5,2025txama,log_reg,0.6896551724137931,87
5,2025txcle,log_reg,0.8192771084337349,83
5,2025vtbur,log_reg,0.759493670886076,79
5,2025wimu,log_reg,0.6989247311827957,93
6,2025caav,knn,0.7333333333333333,90
6,2025cabe,knn,0.7551020408163265,98
6,2025cafr,knn,0.6521739130434783,92
6,2025chcmp,knn,0.5934959349593496,123
6,2025flwp,knn,0.7415730337078652,89
6,2025gacmp,knn,0.6095238095238096,105
6,2025incmp,knn,0.7391304347826086,92
6,2025lake,knn,0.6530612244897959,98
6,2025micmp,knn,0.5,8
6,2025micmp1,knn,0.6421052631578947,95
6,2025micmp2,knn,0.6041666666666666,96
6,2025micmp3,knn,0.6526315789473685,95
6,2025micmp4,knn,0.6526315789473685,95
6,2025mnmi2,knn,0.7684210526315789,95
6,2025mnum,knn,0.7127659574468085,94
6,2025mrcmp,knn,0.6323529411764706,136
6,2025nccmp,knn,0.5578947368421052,95
6,2025necmp,knn,0.0,2
6,2025necmp1,knn,0.625,112
6,2025necmp2,knn,0.6071428571428571,112
6,2025nyny,knn,0.6947368421052632,95
6,2025ohcl,knn,0.6055045871559633,109
6,2025okok,knn,0.5473684210526316,95
6,2025oncmp,knn,0.0,2
6,2025oncmp1,knn,0.6551724137931034,116
6,2025oncmp2,knn,0.7217391304347827,115
6,2025pncmp,knn,0.6521739130434783,115
6,2025sccmp,knn,0.6973684210526315,76
6,2025tnkn,knn,0.5894736842105263,95
6,2025txcmp,knn,1.0,2
6,2025txcmp1,knn,0.7047619047619048,105
6,2025txcmp2,knn,0.7619047619047619,105
6,2025wimi,knn,0.6595744680851063,94
6,2025caav,random_forest,0.7111111111111111,90
6,2025cabe,random_forest,0.8367346938775511,98
6,2025cafr,random_forest,0.7282608695652174,92
6,2025chcmp,random_forest,0.7073170731707317,123
6,2025flwp,random_forest,0.7528089887640449,89
6,2025gacmp,random_forest,0.638095238095238,105
6,2025incmp,random_forest,0.7717391304347826,92
6,2025lake,random_forest,0.7448979591836735,98
6,2025micmp,random_forest,0.625,8
6,2025micmp1,random_forest,0.7052631578947368,95
6,2025micmp2,random_forest,0.625,96
6,2025micmp3,random_forest,0.7052631578947368,95
6,2025micmp4,random_forest,0.6421052631578947,95
6,2025mnmi2,random_forest,0.6947368421052632,95
6,2025mnum,random_forest,0.7659574468085106,94
6,2025mrcmp,random_forest,0.6764705882352942,136
6,2025nccmp,random_forest,0.5789473684210527,95
6,2025necmp,random_forest,0.0,2
6,2025necmp1,random_forest,0.6339285714285714,112
6,2025necmp2,random_forest,0.7321428571428571,112
6,2025nyny,random_forest,0.7473684210526316,95
6,2025ohcl,random_forest,0.6513761467889908,109
6,2025okok,random_forest,0.6842105263157895,95
6,2025oncmp,random_forest,1.0,2
6,2025oncmp1,random_forest,0.75,116
6,2025oncmp2,random_forest,0.782608695652174,115
6,2025pncmp,random_forest,0.7130434782608696,115
6,2025sccmp,random_forest,0.7631578947368421,76
6,2025tnkn,random_forest,0.7052631578947368,95
6,2025txcmp,random_forest,1.0,2
6,2025txcmp1,random_forest,0.780952380952381,105
6,2025txcmp2,random_forest,0.780952380952381,105
6,2025wimi,random_forest,0.7340425531914894,94
6,2025caav,log_reg,0.7111111111111111,90
6,2025cabe,log_reg,0.8367346938775511,98
6,2025cafr,log_reg,0.7934782608695652,92
6,2025chcmp,log_reg,0.6910569105691057,123
6,2025flwp,log_reg,0.8089887640449438,89
6,2025gacmp,log_reg,0.7047619047619048,105
6,2025incmp,log_reg,0.7717391304347826,92
6,2025lake,log_reg,0.7653061224489796,98
6,2025micmp,log_reg,0.75,8
6,2025micmp1,log_reg,0.7684210526315789,95
6,2025micmp2,log_reg,0.625,96
6,2025micmp3,log_reg,0.7473684210526316,95
6,2025micmp4,log_reg,0.7368421052631579,95
6,2025mnmi2,log_reg,0.7578947368421053,95
6,2025mnum,log_reg,0.7978723404255319,94
6,2025mrcmp,log_reg,0.7058823529411765,136
6,2025nccmp,log_reg,0.6736842105263158,95
6,2025necmp,log_reg,0.0,2
6,2025necmp1,log_reg,0.6964285714285714,112
6,2025necmp2,log_reg,0.7410714285714286,112
6,2025nyny,log_reg,0.7894736842105263,95
6,2025ohcl,log_reg,0.6972477064220184,109
6,2025okok,log_reg,0.6947368421052632,95
6,2025oncmp,log_reg,0.0,2
6,2025oncmp1,log_reg,0.75,116
6,2025oncmp2,log_reg,0.8173913043478261,115
6,2025pncmp,log_reg,0.7043478260869566,115
6,2025sccmp,log_reg,0.8026315789473685,76
6,2025tnkn,log_reg,0.7368421052631579,95
6,2025txcmp,log_reg,0.0,2
6,2025txcmp1,log_reg,0.7619047619047619,105
6,2025txcmp2,log_reg,0.7904761904761904,105
6,2025wimi,log_reg,0.7446808510638298,94
7,2025arc,knn,0.6,140
7,2025cmptx,knn,0.5,16
7,2025cur,knn,0.6783216783216783,143
7,2025dal,knn,0.6142857142857143,140
7,2025gal,knn,0.6214285714285714,140
7,2025hop,knn,0.6170212765957447,141
7,2025joh,knn,0.7,140
7,2025mil,knn,0.6453900709219859,141
7,2025new,knn,0.6642857142857143,140
7,2025arc,random_forest,0.7071428571428572,140
7,2025cmptx,random_forest,0.4375,16
7,2025cur,random_forest,0.7272727272727273,143
7,2025dal,random_forest,0.6571428571428571,140
7,2025gal,random_forest,0.7071428571428572,140
